time,x1,x2,x3,x4
0,10.496714153011233,5.0,7.0,12.0
1,10.277559080464334,5.291632000656533,7.4067366430758,12.270836623059315
2,11.461161824252294,5.249462373695657,7.80040310361301,12.404822985042333
3,12.698600360992971,5.204449804048294,8.235971260347675,12.53425246587521
4,11.252136276231452,5.713205880591465,8.176662687876945,12.793487054555175
5,11.497913850619696,5.114689730670817,7.904658323205432,12.771607486461718
6,13.481325848097699,5.181046374538776,7.831015102876795,12.834065429155402
7,12.756478519889455,5.76452445222833,7.1965478605816084,13.145635803075741
8,11.519569404801596,5.543831341777891,6.760064672447682,13.18034872171456
9,12.444673076176272,5.314009847013997,6.750448741047299,13.29147471480774
10,11.268633114756415,5.579673001434686,6.283790581450493,13.703761836377735
11,11.020559897384532,5.438020374734245,6.028839284372058,13.809532151678578
12,11.417532776150981,5.455257262984009,6.043223763409601,13.82137580355889
13,8.900193041493802,5.698693876783169,6.3214068059265855,14.095892636058606
14,8.690905549122487,5.035259560398501,6.526177675183845,14.014569593869414
15,9.43771247075903,5.1748475171892565,7.236742413332427,14.202091173253274
16,8.571345498030059,5.706852863810283,6.938973597505943,14.422056556737756
17,9.500774046443674,5.59624238266211,7.571649716107473,14.176682251199507
18,7.9164054198938425,5.8965186752987275,7.914959312927588,14.61566753269175
19,7.10140664770992,5.68752600788656,7.777125524604095,14.82169971846848
20,9.733597961352677,5.651447601936591,7.815548025558243,15.063820420387911
21,7.872110666923157,6.322754102564328,7.398266126204977,15.194166625572757
22,8.078484413951378,6.086603129092032,7.041196846619907,15.122656999643537
23,6.586208023049997,6.103996085511793,7.008024319524389,15.565176458947148
24,7.55350424288451,5.829635410995279,6.346806624768889,15.810781302868337
25,8.378871782140989,6.010359266988194,6.103936788296539,15.786262147228774
26,7.362716771622909,6.152788566846508,5.99748638709008,15.866061709891984
27,9.200127513760725,5.841947682984992,6.077913360907834,15.950180623508833
28,8.585888023929595,6.51751790016984,6.212160681597914,16.172370885744265
29,9.292482868571206,6.295780643196506,6.292232314532017,16.440444482515428
30,9.398293387770602,6.322060212551576,7.082513872773728,16.569855103286894
31,12.268101566144455,6.433347262208918,7.375556826266744,16.838727004002447
32,10.799976061413664,6.989531449125785,7.534101696488499,16.7424176711778
33,10.117859575629046,6.639342852713889,7.85532721987817,16.753269358499097
34,12.308834563057976,6.261585101336984,8.061382357455985,17.07186229329431
35,10.511207157597855,6.93157986285074,7.8995534276733,17.099337494144685
36,12.110976627595063,6.438486772140335,7.389455907064938,17.442714730856913
37,10.029373666856772,6.826617741973031,7.268540962298267,17.456762297896258
38,10.660857741838116,6.273643408413085,6.732579048795446,17.675783304363303
39,12.09897426845943,6.652173466251915,6.275608826591112,17.66624165520587
40,12.47051738756429,7.001369183808422,5.611723153242432,17.993042475314525
41,11.65765793214476,7.355109185205138,5.849227366238874,17.887690188350845
42,11.059922222196706,7.038439798891229,6.154474824251115,18.115261824838846
43,10.512369590562313,7.168285933075056,6.608313454791474,18.20129155138712
44,8.937301391268093,7.253825753389004,6.510438809972041,18.732857652630226
45,9.280155791605292,6.559278952877043,7.118839643188163,18.896752493938717
46,9.123537847404695,7.004357211934541,7.43518124815913,19.116596828608824
47,10.243648940067315,7.269515581430118,7.311449467209538,19.02000015294688
48,9.168047784983516,7.6968321292613755,7.862036837204545,18.966500653715617
49,6.750670193682478,7.59020007420767,8.011463532067687,19.356599567045574
50,8.592033161825919,6.910689434719598,7.8864854656428385,19.407070102101848
51,7.712804686993376,7.655884169565729,7.819559331789664,19.68650461676734
52,7.334034208957494,7.4689075923358965,6.992334487064261,19.970047751972693
53,8.622632498104322,7.5637016060741935,6.793062540770724,19.989863395926484
54,9.128886489905643,7.908944970982382,6.373139656452807,20.09117155290593
55,9.199229311547322,8.093060122956306,6.131598578488351,20.213826019538534
56,7.674492825822574,8.038196339122614,6.156912463803546,20.31052785462423
57,8.51521711956384,7.549474120625959,6.199749042094088,20.526096265357225
58,9.517790145251965,7.763980468462674,6.332610641202369,20.737196259472686
59,10.55972174548684,8.088824243658898,6.410392422200631,20.91778266254298
60,9.520825762154704,8.250565090054682,7.035661183003536,21.019565741984756
61,10.230164404971699,7.935225214336055,7.544391204730581,21.084337892973075
